Gender,Age [10-15],Age [16-20],Age [21-25],Age [26-30],Age [31-35],Level,access_to_material_in my academy,family_financial_status_allows_me_to_focus,parent_guardian_support_education_learning,feel_supported_accepted_coursemate_friends,atleast_one_close_friend,positive_supportive_relation_with_lecturers,rarely_have_conflict_with_classmate_lecturer,constantly_attend_lectures_on_time,avoid_engaging _risky_behavior,family_status_stable_supportive_in _academic_pursuits,parent_guardian_encourages_academic_pursuit,no_significant_family_issues_interfere_academic_pursuit,strong_sense_belonging_university_community,University_provide_adequate_support_academic_pursuit,feel_safe_comfortable_in_school_environment,What_ your_current_CGPA
Male,0,0,1,0,0,300L,Agree,Agree,Agree,Agree,Agree,Agree,Most Frequently,Agree,Not More Frequently,Very Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,2.0 to 2.49
Female,0,0,1,0,0,300L,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Frequently,Strongly Agree,Frequently,Stable,Agree,Agree,Little Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Female,0,1,0,0,0,200L,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Most Frequently,Agree,More Frequently,Not Stable,Strongly Agree,Disagree,Strong Sense of Belonging,Strong Support,Strongly Agree,2.0 to 2.49
Male,0,0,0,1,0,300L,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Not at All,Agree,Not More Frequently,Not Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Strongly Disagree,2.5 to 3.49
Female,0,1,0,0,0,300L,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not at All,Agree,Frequently,Not Very Stable,Agree,Agree,Strong Sense of Belonging,Litle Support,Strongly Agree,3.5 to 4.49
Female,0,0,1,0,0,200L,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Not Frequently,Strongly Agree,Frequently,Very Stable,Strongly Disagree,Disagree,Little Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Male,0,0,1,0,0,300L,Agree,Agree,Agree,Agree,Neutral,Agree,Not at All,Strongly Agree,Not Frequently,Neutral,Strongly Agree,Strongly Agree,Strong Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Male,0,1,0,0,0,400L,Strongly Disagree,Neural,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Stable,Neutral,Agree,Strong Sense of Belonging,Litle Support,Neutral,3.5 to 4.49
Male,0,0,0,1,0,300L,Agree,Neural,Agree,Agree,Agree,Agree,Frequently,Neutral,More Frequently,Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,3.5 to 4.49
Female,0,0,1,0,0,400L,Neutral,Neural,Neutral,Neural,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.5 to 4.49
Male,0,1,0,0,0,200L,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Not Frequently,Disagree,Not Frequently,Not Stable,Disagree,Disagree,Little Sense of Belonging,Litle Support,Disagree,3.5 to 4.49
Female,0,1,0,0,0,200L,Agree,Agree,Strongly Agree,Neural,Disagree,Neutral,Not at All,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Neutral,Litle Support,Neutral,2.5 to 3.49
Female,0,1,0,0,0,200L,Neutral,Disagree,Disagree,Agree,Strongly Agree,Neutral,Not Frequently,Disagree,More Frequently,Not Stable,Strongly Agree,Strongly Disagree,Neutral,Strong Support,Neutral,3.5 to 4.49
Female,0,0,1,0,0,400L,Agree,Agree,Agree,Neural,Neutral,Agree,Frequently,Neutral,Frequently,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Agree,3.5 to 4.49
